Chr,Ne,S,L,nAll,nprimeAll,nSep,nprimeSep
64,3200,100,50000,1249975000,206842,1230444141,347868
64,3200,200,100,4950,,4873,
64,3200,200,250,31125,,30639,
64,3200,200,500,124750,,122801,
64,3200,200,1000,499500,,491695,
64,3200,200,2000,1999000,,1967766,
64,3200,200,3000,4498500,,4428211,
64,3200,200,5000,12497500,,12302227,
64,3200,200,10000,49995000,,49213828,
64,3200,3200,100,4950,,4873,
64,3200,3200,250,31125,,30639,
64,3200,3200,500,124750,,122801,
64,3200,3200,1000,499500,,491695,
64,3200,3200,2000,1999000,,1967766,
64,3200,3200,3000,4498500,,4428211,
64,3200,3200,5000,12497500,,12302227,
64,3200,3200,10000,49995000,,49213828,
